feature,reference_year,official_item_name_raw,source_dataset,ssdse_version,ssdse_item_code,raw_or_derived,temporal_safe,source_url
A4200,2023,死亡数,SSDSE-A-2026,2026,A4200,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A5101,2024,転入者数（日本人移動者）,SSDSE-A-2026,2026,A5101,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A5102,2024,転出者数（日本人移動者）,SSDSE-A-2026,2026,A5102,raw,False,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A7101,2020,世帯数,SSDSE-A-2026,2026,A7101,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A710101,2020,一般世帯数,SSDSE-A-2026,2026,A710101,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A710201,2020,一般世帯人員数,SSDSE-A-2026,2026,A710201,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A810102,2020,核家族世帯数,SSDSE-A-2026,2026,A810102,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A810105,2020,単独世帯数,SSDSE-A-2026,2026,A810105,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A811102,2020,65歳以上の世帯員のいる核家族世帯数,SSDSE-A-2026,2026,A811102,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A8201,2020,夫65歳以上、妻60歳以上の夫婦のみの世帯数,SSDSE-A-2026,2026,A8201,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
A8301,2020,65歳以上世帯員の単独世帯数,SSDSE-A-2026,2026,A8301,raw,True,https://www.nstac.go.jp/files/SSDSE-A-2026.csv
